iyear,1,2,3,4,5,6,7,8,9,10,11,12
1.0,1.2139302004450583,3.547462297078138,7.691554492966907,9.748362212088747,16.66574753508353,17.58989138597712,22.51208432684505,20.838912068902818,18.28941898268683,15.298589551137178,6.31821316733313,6.2890577417720275
2.0,3.818965159493162,3.355705675351127,8.33862272199513,14.92993730664605,17.564437912431192,19.378754500662296,22.92602776392779,21.194566156068827,18.619088429124233,11.739692490910164,5.278102293529633,2.4176579649029573
3.0,3.3978417886676153,4.910657535052918,4.69450121252581,11.70503156571877,14.600375098981647,19.64447754097006,21.874661333485705,20.89796608041649,18.33151627945528,9.81288393018349,4.09111775916194,4.172025173447028
4.0,1.2077161415013344,4.15544264495682,5.677739838581192,12.82016225690516,17.023601453741144,17.58390645356672,20.9112894067949,21.5185699210125,17.008574321693178,11.856956782162422,2.4421435814258663,0.46243062055094636
5.0,0.37859011043223806,3.832567328243937,5.626989547519869,10.383900195355015,13.274368230300679,19.330200594786778,22.386543228522175,21.755122541908246,17.11524808814117,13.822901122268666,2.9239443845649076,-0.1757942434583243
6.0,4.8854088188227225,4.2616672642696,7.582941456796489,10.118050198657386,10.53192427277892,20.2016803290522,21.934221259905712,21.83751373402869,18.863219127203283,11.600888923861753,1.8551692381609197,3.393620464367541
7.0,-0.42145333692699544,3.5565026404414053,6.4897142811741775,8.07741004065644,17.675360760784454,19.226854828492232,21.1417955241955,21.286786275319553,19.83055878227271,12.24795267557219,5.006052389078324,1.5001168089958856
8.0,1.1603589617186791,4.710556160990437,7.438425787191518,13.947815063071674,14.110768033585293,18.867054991305963,21.731701977493678,22.074099545216317,16.664324796996805,14.91880849874823,6.167651675183928,2.4013058740471864
9.0,2.041970692023896,2.088987424670597,10.35811803649802,11.499605329617426,14.946588968300931,18.389359035436236,22.182167212952017,21.526567592048632,19.329938200722015,10.900313065151312,2.9144241176536148,2.36426252459441
10.0,4.9449666528392475,2.4757600765061976,5.937892304812284,11.159854209326353,16.96067664285633,19.3556530761328,22.279513063676177,21.124919238911534,18.423377998924593,7.777520488759442,6.9356565848952805,-2.0798274309147122
11.0,2.254650237964842,5.219928901154481,7.424516123358829,12.827305650428663,14.974830916345576,19.19198340126072,22.525740471731506,22.148643029293297,19.897957739881452,9.554975896962628,5.20557511640534,1.7668606569597551
12.0,5.5324205345397885,2.968341266555027,8.400661143416334,12.035347187397788,15.315068765162517,18.163422044428014,22.5054572553565,22.34741357335874,17.35774185813185,11.85053850396832,7.088679220975788,7.389950415581452
13.0,4.207620000192765,4.363887604731637,7.63339280116391,12.370185699013298,16.84459839084177,20.48522761733363,22.27452731706885,22.94254699673569,17.566243041679623,13.359365055618374,4.511977136296756,4.862514639429573
14.0,5.884176252977969,4.543462446150906,7.0520645508001465,10.669798760099416,16.417185304147672,19.946885724572176,21.958917339431306,21.46766079317555,18.041588457119126,10.66085349175996,7.011718017483181,3.097256924713091
15.0,0.3381317303784627,6.53367956309286,4.614775638032389,11.044242240501145,15.047055883163322,20.415915693987714,22.088152581778225,22.65948737225477,18.604014048077325,12.788358355539867,3.8623133084249273,-0.650240347588196
16.0,1.8195825924878373,4.488872692737352,7.485367673468871,11.62080785400462,16.345242896445676,20.536781550406463,21.71927885273349,22.082979573875836,19.549463103458685,14.3831015710705,5.04276016181649,3.3280785086682796
17.0,2.8974088879006756,7.193076236888571,9.600035024239297,8.840893972211758,16.39562863672605,20.051882957083333,22.429138059882327,21.077296002910444,18.29209662319817,12.18479870966852,7.884621849763223,0.9190918008785193
18.0,0.4041793752482345,2.8714279544455588,8.12987900624585,7.35900667820516,15.298771667762374,19.384429962562084,22.626303566213313,21.397856644767153,18.757977059622267,10.970690575215105,6.277310511779712,2.3195934685682604
19.0,5.4651343856198125,4.003649901418997,3.5440932264187235,10.420097004494746,14.85523568148255,19.252395368484702,21.40494334325446,20.896139973647912,16.780265206587423,11.27474446596943,7.982668635795045,0.5623694918280705
20.0,1.7048445412334352,4.108485161828581,7.241403195271032,12.483141508611817,14.959437034545989,19.040117564311803,22.337263366913792,21.68095036773059,18.944752501755172,13.971716473519686,4.924813407292226,2.0955975410732224
21.0,2.928576654484702,2.2459682450574547,7.033002643303019,8.661552682532015,12.596066912963924,18.36489656191859,21.743065118709747,22.290681681347248,16.83768981708381,10.5058848690733,6.141931614809462,3.48678266773402
