Year,1,2,3,4,5,6,7,8,9,10,11,12
1.0,9.320659050922579,11.391115389210714,15.458188594522579,19.408695473879998,21.188100466183872,20.141803927083334,18.81493124354194,17.415238251912903,17.58561224587,13.842497591583868,10.390479170569998,9.03275711352258
2.0,9.540115009035484,12.096775459514285,15.30733171348387,19.036444680313327,18.835763669693545,18.94567081684,17.790065620683873,16.30850003890645,17.36199132618667,13.546653492177422,10.12543415871667,7.69460600742258
3.0,9.578206432561288,11.771658399417857,15.667658433261291,18.06073584263667,21.091709332041937,20.47841770053333,17.583654067132258,19.809196993748383,14.295135195666669,14.983944754629034,9.495966188819999,7.663271011664517
4.0,9.185830282693548,13.965949255071427,15.335369388870964,18.921358286003333,18.63348054742258,19.90858660199333,18.96598217879677,16.94240485185807,14.858045188919998,12.896293540551612,9.371701816169999,8.824023038141934
5.0,9.320659050922579,11.391115389210714,15.458188594522579,19.408695473879998,21.188100466183872,17.552693738403335,19.854653197409675,17.741797971774194,16.83174253341,14.35568043173871,10.620347758380001,9.03275711352258
6.0,9.055821326796774,12.67989272759286,16.084566018141935,18.46824848905,20.848884970554842,19.150143739340002,19.987323204258065,18.910179044635488,13.592782027626667,11.418424708535488,10.96622978393,8.69423940077742
7.0,8.742624984048389,12.19786819085357,15.458188594522579,19.408695473879998,21.188100466183872,19.150143739340002,19.987323204258065,18.910179044635488,13.592782027626667,11.418424708535488,10.96622978393,9.03275711352258
8.0,9.320659050922579,11.391115389210714,15.667658433261291,18.06073584263667,21.091709332041937,16.742654623149996,18.22958488218387,19.122775341125806,16.475272859540002,11.627463619922581,10.164719517523334,7.663271011664517
9.0,9.578206432561288,11.771658399417857,15.335369388870964,18.921358286003333,18.63348054742258,21.948590149473333,19.1252797738,17.46908924697742,16.961175424096666,13.753505578448387,10.388806527233331,8.824023038141934
10.0,9.185830282693548,13.965949255071427,15.30733171348387,19.036444680313327,18.835763669693545,16.742654623149996,18.22958488218387,19.122775341125806,16.475272859540002,11.627463619922581,10.164719517523334,7.69460600742258
11.0,9.540115009035484,12.096775459514285,15.667658433261291,18.06073584263667,21.091709332041937,20.771154121176664,19.914880268916125,16.850423542758065,16.21945148339,13.487275842838711,10.235572740906665,7.663271011664517
12.0,9.578206432561288,11.771658399417857,15.667658433261291,18.06073584263667,21.091709332041937,18.77787781046333,19.928583182487095,18.737867093354836,14.872726065860002,14.950737550183868,10.528192202213335,7.663271011664517
13.0,9.578206432561288,11.771658399417857,16.084566018141935,18.46824848905,20.848884970554842,20.771154121176664,19.914880268916125,16.850423542758065,16.21945148339,13.487275842838711,10.235572740906665,8.69423940077742
14.0,8.742624984048389,12.19786819085357,18.201941388332255,20.09927776150666,18.991713656880645,20.47841770053333,17.583654067132258,19.809196993748383,14.295135195666669,14.983944754629034,9.495966188819999,9.403979110874193
15.0,9.241922880929032,12.754363616139287,15.335369388870964,18.921358286003333,18.63348054742258,20.818948774863337,22.247815187167745,19.07584538734194,13.904584973143331,15.114091230622583,9.031438466363333,8.824023038141934
16.0,9.185830282693548,13.965949255071427,15.096660104348391,20.464188756360002,20.90429527656774,22.08319929866333,18.255685320635486,18.830391492648385,15.872359691633335,13.125869135816126,10.916229686546666,8.57639943759355
17.0,9.743725539583872,10.400433902771425,15.667658433261291,18.06073584263667,21.091709332041937,19.90858660199333,18.96598217879677,16.94240485185807,14.858045188919998,12.896293540551612,9.371701816169999,7.663271011664517
18.0,9.578206432561288,11.771658399417857,18.201941388332255,20.09927776150666,18.991713656880645,20.215942258663333,19.522998767345157,16.01975749434516,16.616244789566665,14.554346207441935,11.09018774835,9.403979110874193
19.0,9.241922880929032,12.754363616139287,15.096660104348391,20.464188756360002,20.90429527656774,16.61753597813,20.18123255130968,18.519012632522582,16.623825470643332,13.333683591187098,10.70562227431,8.57639943759355
20.0,9.743725539583872,10.400433902771425,15.335369388870964,18.921358286003333,18.63348054742258,20.80128289618,19.209610757783867,16.83094164289677,16.75474265259,13.342626076048386,10.857364983913333,8.824023038141934
21.0,9.185830282693548,13.965949255071427,15.874144501900002,20.490786444346664,18.820875769648385,21.460670561726666,18.653696426929038,17.192500224835484,13.794983629949998,12.729843306987094,10.498479262449997,8.73156607132903
22.0,9.24016993625484,14.161449009678574,18.201941388332255,20.09927776150666,18.991713656880645,18.135692626826668,19.411554342174195,17.86045211223871,17.425866969029997,11.429524646787097,10.911356821383334,9.403979110874193
23.0,9.055821326796774,12.67989272759286,17.14390314473871,18.019956666893336,20.879493854067746,17.58725489298333,20.108286095564516,17.88537260579032,14.748006058626666,12.71318728290968,9.335313813006668,7.708197675509677
24.0,9.241922880929032,12.754363616139287,15.874144501900002,20.490786444346664,18.820875769648385,20.47841770053333,17.583654067132258,19.809196993748383,14.295135195666669,14.983944754629034,9.495966188819999,8.73156607132903
25.0,9.459440678922583,11.457657282575,16.084566018141935,18.46824848905,20.848884970554842,16.61753597813,20.18123255130968,18.519012632522582,16.623825470643332,13.333683591187098,10.70562227431,8.69423940077742
26.0,9.24016993625484,14.161449009678574,15.458188594522579,19.408695473879998,21.188100466183872,20.80128289618,19.209610757783867,16.83094164289677,16.75474265259,13.342626076048386,10.857364983913333,9.03275711352258
27.0,9.055821326796774,12.67989272759286,15.30733171348387,19.036444680313327,18.835763669693545,17.552693738403335,19.854653197409675,17.741797971774194,16.83174253341,14.35568043173871,10.620347758380001,7.69460600742258
28.0,8.742624984048389,12.19786819085357,17.14390314473871,18.019956666893336,20.879493854067746,17.62790525833,16.916122100819354,17.45726376918387,16.952545515786667,14.043492453364514,10.21997926091,7.708197675509677
29.0,9.320659050922579,11.391115389210714,16.084566018141935,18.46824848905,20.848884970554842,20.141803927083334,18.81493124354194,17.415238251912903,17.58561224587,13.842497591583868,10.390479170569998,8.69423940077742
30.0,9.540115009035484,12.096775459514285,15.335369388870964,18.921358286003333,18.63348054742258,17.58725489298333,20.108286095564516,17.88537260579032,14.748006058626666,12.71318728290968,9.335313813006668,8.824023038141934
31.0,9.459440678922583,11.457657282575,16.084566018141935,18.46824848905,20.848884970554842,20.771154121176664,19.914880268916125,16.850423542758065,16.21945148339,13.487275842838711,10.235572740906665,8.69423940077742
32.0,8.742624984048389,12.19786819085357,15.458188594522579,19.408695473879998,21.188100466183872,19.757343706000004,17.36170179290645,20.613039166403226,14.672613971536666,14.476724911816127,9.34303186722,9.03275711352258
33.0,9.185830282693548,13.965949255071427,15.335369388870964,18.921358286003333,18.63348054742258,20.215942258663333,19.522998767345157,16.01975749434516,16.616244789566665,14.554346207441935,11.09018774835,8.824023038141934
