iyear,1,2,3,4,5,6,7,8,9,10,11,12
1.0,9.292010338813865,12.500168566532347,17.11907731953133,21.303830735274133,19.872603786714272,22.15812272566383,17.86534529139441,18.078204957503225,16.069526303419583,12.852878805861057,9.775937828035069,8.093522139289146
2.0,9.339838817033865,13.301290158627639,14.449350564468382,18.37252490705325,18.38613030150251,18.18696244550047,19.770459860669494,19.069759658283175,16.442110272963355,13.11080193554494,9.45980582120768,8.681190222829153
3.0,8.330688812908324,12.729505478569745,15.139537917162677,18.57491691300585,22.25087383113004,21.079004170861374,18.841898782245455,18.406194876990018,16.760632912203242,14.074319834482239,9.77731330616115,8.418509620432197
4.0,9.239157560867886,12.348447867969218,15.20782556287651,18.10890138020535,18.979757125838063,20.02324729223456,21.340003253760386,17.732547949337395,16.818002289527815,12.728174230168511,11.364565636761414,7.468691014768793
5.0,9.64087039292097,12.747406559717424,16.61317905530989,19.848704301867876,21.525183901785276,19.96861545599379,17.81317784464067,17.303433876038614,17.365986063196218,12.548829288285859,10.584872947867215,8.496767090414423
6.0,8.880538109941483,11.577603356873453,15.60593116362288,20.035485020180676,22.22184356102537,19.737268913668345,19.33658937009715,16.81945842733875,15.285397869126106,13.262345037240943,10.455199310578953,8.69642952786996
7.0,9.123560723836418,11.433938344588546,15.945264781369074,20.99874280036826,20.35775445375867,20.49731152779912,19.459013104681723,18.83832455283211,14.810630415697663,12.308869484133417,10.566650021789137,8.561724924649335
8.0,10.128786881706395,12.209072006792114,16.12321458693505,19.524829174207813,21.14502741643164,20.466946190678804,18.400669887609943,16.952841763600155,16.38745080572202,12.345663823345616,10.064987910042928,8.98691397954017
9.0,9.189483222830752,11.078167471602383,14.994508369516144,20.362889547662522,21.3000322500007,20.177982658861236,19.28954264378177,17.24909981409723,15.628236703580939,13.287614038025009,11.29743093640207,8.458201428344037
10.0,8.78251123299596,11.395095923051883,16.346323528211066,17.835159187507507,18.026157733011065,20.170992555785663,17.93320352338072,17.472279929918702,16.469128923049098,14.689010595640841,9.73209752852524,8.813138191667331
11.0,9.22703499061615,11.26495032045176,14.984424340729246,18.22281653858414,20.391206249221216,18.92110112259113,18.50896691827798,16.794312695286482,15.162340836391401,14.854087195446818,9.795147031165346,8.946043330487441
12.0,8.977088538948017,11.714210127279681,16.112819674269556,18.983420813453385,19.663295833200092,19.59587979638826,18.741091527665237,18.038928559486273,17.00304998410234,12.731682914180416,10.022288681830599,7.685059168863197
13.0,9.002973651950667,12.22695194056537,14.670404035459542,18.687835354209156,18.840332857501554,20.770442522153946,17.579469665645355,17.35497509233537,16.664698185808533,12.674715917384841,10.067976150594614,8.971091166749193
14.0,8.478384337352349,13.401935271240777,14.530631719354464,18.931673324520037,21.815784378525247,18.450850439452175,17.02288211456057,18.394303682604935,17.37310119808974,13.272357752651072,10.836237182664565,7.988530884799797
15.0,9.195508153566987,10.97314433926942,15.0835440386485,19.775990997717493,21.920679423328195,18.28202454855295,18.806313962920914,16.441002297442626,15.714254799326351,12.615751344722447,11.092099667294395,9.121836971603802
16.0,10.268357371878786,12.310505425664392,15.658813614410079,18.141798598849274,20.140673196586327,20.967197153825374,18.294892836607644,17.22971876798356,15.990203391662398,11.807156592050804,10.399096222705339,8.528260713117831
17.0,9.356877803559929,12.2720838979327,14.352413566588226,18.14808094190449,18.782796724411295,19.667414339665346,19.40633169149852,18.965288235365822,15.864884709066017,12.777655251319722,10.287536745703699,8.521997713676448
18.0,9.713430676792623,11.426095549222328,15.95009667633129,20.235713572784068,21.530942762808923,17.710059818232587,18.541262941655173,18.005364215468145,14.546693341838113,15.016710851362307,10.425828148325138,8.573809531906294
19.0,8.308160831808088,13.691129662569145,16.368690906401405,20.138221914698445,20.785720311696878,19.56362003698639,19.85651271560892,18.099382931590544,15.740927378526886,12.233508229319737,10.20891398064932,8.505354507691424
