Year,1,2,3,4,5,6,7,8,9,10,11,12
1.0,117.3,330.57000000000005,40.94,154.53,125.91999999999999,158.34,108.63,109.89000000000001,68.67999999999999,11.489999999999998,127.4,209.85000000000002
2.0,114.66,76.25999999999999,111.85000000000001,78.01,41.459999999999994,66.53,265.09999999999997,155.04000000000002,46.87,61.87,100.71,140.99
3.0,107.77000000000001,108.13,143.63,40.120000000000005,119.94,64.16999999999999,125.73000000000002,54.790000000000006,205.20999999999998,17.44,42.64,104.80000000000001
4.0,121.86,59.09,251.29999999999998,107.58000000000001,109.4,106.75999999999999,75.37,180.23,114.16000000000001,107.4,168.01,154.19
5.0,117.3,330.57000000000005,40.94,154.53,125.91999999999999,242.79,65.69,106.84,47.22,37.77,71.15,209.85000000000002
6.0,39.9,154.51000000000002,74.22,139.12,79.86000000000001,101.50999999999999,50.89999999999999,38.17,126.02000000000001,112.99,122.04999999999998,85.03999999999999
7.0,117.3,330.57000000000005,339.47999999999996,205.69000000000003,75.39,101.50999999999999,50.89999999999999,38.17,126.02000000000001,112.99,122.04999999999998,209.85000000000002
8.0,107.77000000000001,108.13,40.94,154.53,125.91999999999999,180.93999999999997,283.66,67.14,74.87,125.87,78.06,104.80000000000001
9.0,121.86,59.09,143.63,40.120000000000005,119.94,31.200000000000003,89.28,67.35999999999999,63.66,108.32,170.33,154.19
10.0,114.66,76.25999999999999,251.29999999999998,107.58000000000001,109.4,180.93999999999997,283.66,67.14,74.87,125.87,78.06,140.99
11.0,107.77000000000001,108.13,111.85000000000001,78.01,41.459999999999994,74.66,45.29,63.980000000000004,111.73,324.70000000000005,92.30000000000001,104.80000000000001
12.0,107.77000000000001,108.13,143.63,40.120000000000005,119.94,117.57,64.65,55.3,51.519999999999996,68.15,92.72,104.80000000000001
13.0,39.9,154.51000000000002,143.63,40.120000000000005,119.94,74.66,45.29,63.980000000000004,111.73,324.70000000000005,92.30000000000001,85.03999999999999
14.0,109.38999999999999,148.84,339.47999999999996,205.69000000000003,75.39,64.16999999999999,125.73000000000002,54.790000000000006,205.20999999999998,17.44,42.64,169.14
15.0,121.86,59.09,350.37999999999994,136.81,79.09,49.36,35.17,51.629999999999995,123.77000000000001,14.57,175.15,154.19
16.0,157.90000000000003,92.14,251.29999999999998,107.58000000000001,109.4,38.980000000000004,161.01999999999998,91.44,78.48,88.56,84.58,43.150000000000006
17.0,107.77000000000001,108.13,87.78,97.27999999999999,74.58,106.75999999999999,75.37,180.23,114.16000000000001,107.4,168.01,104.80000000000001
18.0,109.38999999999999,148.84,143.63,40.120000000000005,119.94,91.83,53.51,147.94,42.349999999999994,33.96,87.21000000000001,169.14
19.0,157.90000000000003,92.14,350.37999999999994,136.81,79.09,295.5,99.14,74.58,55.44,85.73,60.269999999999996,43.150000000000006
20.0,121.86,59.09,87.78,97.27999999999999,74.58,82.55999999999999,73.64999999999999,139.69000000000003,62.88,56.76,29.88,154.19
