iyear,1,2,3,4,5,6,7,8,9,10,11,12
1.0,14.595940036531843,17.61577796449207,23.52794442989779,25.995414461590133,29.662818442678066,30.8422436864986,34.62752655900157,32.61743464411964,30.898109998158372,26.679397386799547,18.893709889129727,18.24670197657215
2.0,16.359515149285112,19.528845110589945,21.96389867841402,29.118611098784033,30.25611420267821,30.77316646090862,35.470493924077495,33.875240227711735,31.59528638986459,23.740366318083726,17.71901499904392,16.398062931639604
3.0,15.048701871522287,18.069433065182725,17.571631844832233,24.037523893107906,29.08690627980814,32.381197119572604,33.06878511646325,32.92355787702409,31.49729129173281,24.92176535645081,17.70616898591327,16.538365578225427
4.0,13.893306790901065,16.299560327163075,18.479251891380116,27.201281442094416,28.97935498449695,29.57593882479912,32.96569188308733,33.255154731920534,30.211140381446604,24.112223074109156,18.771820350634673,11.648863801508092
5.0,13.378702712820635,18.106086537129965,19.13406453191041,24.5874452850234,27.57630724692428,32.08685668152399,34.08321225503149,32.82639359166049,31.133167068744804,25.37728200752685,17.78054099565826,12.986129191214383
6.0,18.77365113671543,17.10005477247414,22.72978107695937,25.761050038048076,25.84224103477827,31.707021118302205,32.759356242731094,32.77940542510645,31.1107696057973,25.011627783351436,17.18577908141505,17.249018734982887
7.0,11.595898981531729,16.122548187245624,21.613170541674496,23.78156406447798,31.726038791629115,32.085785796614374,31.605128458120127,32.61944873488718,30.987068244679737,25.54696879112904,19.700076596192705,16.65978034479567
8.0,14.747635842362866,17.077204015319953,22.271818483309684,27.89268608293251,28.678583640381138,31.640191631987545,31.878964093987854,32.931495070613124,29.71153985706736,27.165101296902638,19.302344504072334,14.202219230954231
9.0,14.60424708434635,15.476820549323056,24.59468758242629,25.685945749454504,28.798219730396138,31.212280660855573,33.71763022152464,33.025081220671524,31.23038356356038,23.274249198879478,18.281769677511445,17.241267617178348
10.0,17.292737114225687,14.012272174168071,20.079341848098526,25.32315497315256,29.950550985588432,31.69929564602645,33.04395535023774,33.444598582051945,31.186405664014913,23.520278303463208,19.348033080206836,10.529652270087142
11.0,14.914919159584725,18.76319982397283,19.18184856035152,27.24699404192327,28.432174950819856,31.224623456727656,33.71002034970033,33.074036806795505,31.672450585359993,24.82504870494375,17.861764524994125,17.37405277956144
12.0,18.01700958621249,15.238544881113864,21.312301682309805,27.269712419314104,28.255546443420684,30.277270434150584,33.141819486744446,33.831382632786095,30.818734801111198,25.691701432857922,20.578624300101442,18.927195602695026
