Year,1,2,3,4,5,6,7,8,9,10,11,12
1.0,5.308387096774194,2.486428571428571,5.150322580645161,8.947666666666667,12.959354838709679,19.409333333333333,21.905161290322585,20.973870967741934,17.525,11.138709677419353,4.125333333333334,-0.15032258064516119
2.0,1.7212903225806453,2.6964285714285716,9.066774193548387,13.718333333333334,16.119677419354836,19.977666666666664,22.399677419354838,22.34129032258065,19.111666666666668,11.417741935483871,6.277,3.9712903225806446
3.0,4.389999999999999,1.8796428571428572,5.285161290322581,9.882000000000001,16.344193548387093,20.839333333333336,22.559032258064516,20.274516129032254,19.583666666666662,12.14774193548387,8.342666666666666,6.08225806451613
4.0,2.4829032258064516,3.2353571428571426,8.78064516129032,10.755333333333335,16.9058064516129,21.53933333333334,22.59870967741935,22.01774193548387,21.869333333333334,15.116774193548387,5.929333333333334,-0.1132258064516129
5.0,5.308387096774194,2.486428571428571,5.150322580645161,8.947666666666667,12.959354838709679,18.978333333333335,20.94161290322581,20.61,16.449333333333332,8.353225806451615,6.846333333333334,-0.15032258064516119
6.0,-0.17258064516129049,4.1396428571428565,4.081935483870968,12.586666666666668,13.785806451612906,19.015333333333334,21.42645161290322,20.73483870967742,20.388333333333332,15.90290322580645,4.779666666666667,1.4458064516129034
7.0,1.624516129032258,4.4246428571428575,5.150322580645161,8.947666666666667,12.959354838709679,19.015333333333334,21.42645161290322,20.73483870967742,20.388333333333332,15.90290322580645,4.779666666666667,-0.15032258064516119
8.0,5.308387096774194,2.486428571428571,5.285161290322581,9.882000000000001,16.344193548387093,20.755666666666666,20.970645161290324,20.092580645161295,16.916,12.718709677419351,8.392333333333333,6.08225806451613
9.0,4.389999999999999,1.8796428571428572,8.78064516129032,10.755333333333335,16.9058064516129,18.305333333333333,21.379677419354838,22.2516129032258,16.908333333333335,9.631290322580647,4.443333333333333,-0.1132258064516129
10.0,2.4829032258064516,3.2353571428571426,9.066774193548387,13.718333333333334,16.119677419354836,20.755666666666666,20.970645161290324,20.092580645161295,16.916,12.718709677419351,8.392333333333333,3.9712903225806446
11.0,1.7212903225806453,2.6964285714285716,5.285161290322581,9.882000000000001,16.344193548387093,18.049666666666663,21.358709677419355,22.2483870967742,17.487666666666666,11.647419354838707,3.4386666666666668,6.08225806451613
12.0,4.389999999999999,1.8796428571428572,5.285161290322581,9.882000000000001,16.344193548387093,20.842666666666666,20.72838709677419,21.131290322580647,20.186333333333334,11.314838709677417,2.307,6.08225806451613
