Year,1,2,3,4,5,6,7,8,9,10,11,12
1.0,17.27258064516129,15.592500000000001,19.029032258064515,23.624333333333333,27.408709677419353,30.432000000000002,32.49516129032258,31.56032258064516,30.777000000000005,26.14322580645161,18.160999999999998,14.093225806451615
2.0,14.630000000000004,16.44142857142857,22.888387096774196,27.987333333333343,28.809354838709684,30.743333333333343,32.178387096774195,31.837419354838715,31.988666666666667,24.58612903225806,20.932666666666663,14.704193548387098
3.0,18.036774193548386,15.361785714285716,19.034193548387098,23.488999999999997,30.638387096774192,34.007333333333335,34.01548387096774,33.77225806451613,31.055333333333333,26.98548387096774,21.719999999999995,16.949354838709677
4.0,14.816129032258065,20.144642857142856,20.746451612903222,24.39066666666667,28.129677419354838,32.970333333333336,33.12645161290323,32.44258064516129,32.94966666666666,26.805483870967738,17.326666666666668,14.259032258064517
5.0,17.27258064516129,15.592500000000001,19.029032258064515,23.624333333333333,27.408709677419353,29.943666666666672,32.31032258064516,31.528387096774193,28.750666666666667,24.450000000000006,23.865000000000002,14.093225806451615
6.0,11.694516129032257,17.950357142857143,19.79741935483871,26.417666666666666,28.088709677419356,31.370333333333335,32.847741935483874,33.024193548387096,30.421666666666667,24.79612903225806,17.396,16.24838709677419
7.0,12.803225806451612,17.70357142857143,19.029032258064515,23.624333333333333,27.408709677419353,31.370333333333335,32.847741935483874,33.024193548387096,30.421666666666667,24.79612903225806,17.396,14.093225806451615
8.0,17.27258064516129,15.592500000000001,19.034193548387098,23.488999999999997,30.638387096774192,31.322666666666667,30.580322580645166,31.406451612903226,29.08566666666667,23.45709677419355,21.858999999999998,16.949354838709677
9.0,18.036774193548386,15.361785714285716,20.746451612903222,24.39066666666667,28.129677419354838,33.58633333333333,34.90838709677419,34.17161290322581,29.529666666666664,24.541612903225804,19.425,14.259032258064517
10.0,14.816129032258065,20.144642857142856,22.888387096774196,27.987333333333343,28.809354838709684,31.322666666666667,30.580322580645166,31.406451612903226,29.08566666666667,23.45709677419355,21.858999999999998,14.704193548387098
11.0,14.630000000000004,16.44142857142857,19.034193548387098,23.488999999999997,30.638387096774192,31.308,34.93354838709678,33.89322580645162,30.276000000000003,25.08225806451613,17.59666666666667,16.949354838709677
12.0,18.036774193548386,15.361785714285716,19.034193548387098,23.488999999999997,30.638387096774192,32.21633333333333,32.49709677419355,33.712258064516135,31.292333333333332,27.06096774193549,17.865666666666666,16.949354838709677
13.0,18.036774193548386,15.361785714285716,19.79741935483871,26.417666666666666,28.088709677419356,31.308,34.93354838709678,33.89322580645162,30.276000000000003,25.08225806451613,17.59666666666667,16.24838709677419
14.0,12.803225806451612,17.70357142857143,23.47193548387097,24.555000000000003,29.602258064516132,34.007333333333335,34.01548387096774,33.77225806451613,31.055333333333333,26.98548387096774,21.719999999999995,14.553548387096777
15.0,11.86258064516129,18.084642857142857,20.746451612903222,24.39066666666667,28.129677419354838,32.49733333333332,35.593225806451606,34.23032258064516,28.72233333333333,26.528709677419354,18.616333333333337,14.259032258064517
16.0,14.816129032258065,20.144642857142856,17.014193548387095,25.298999999999996,28.65548387096774,34.004333333333335,32.62483870967743,36.64709677419355,30.780333333333328,26.18967741935483,20.320999999999994,17.37258064516129
