Year,1,2,3,4,5,6,7,8,9,10,11,12
1.0,117.3,330.57000000000005,339.47999999999996,205.69000000000003,75.39,158.34,108.63,109.89000000000001,68.67999999999999,11.489999999999998,127.4,64.24000000000001
2.0,109.38999999999999,148.84,86.24999999999999,112.76,251.25,66.53,265.09999999999997,155.04000000000002,46.87,61.87,100.71,80.77000000000001
3.0,91.84,142.64000000000001,170.62,121.29999999999998,49.92,64.16999999999999,125.73000000000002,54.790000000000006,205.20999999999998,17.44,42.64,58.99999999999999
4.0,121.86,59.09,157.05999999999997,249.14000000000001,136.7,106.75999999999999,75.37,180.23,114.16000000000001,107.4,168.01,85.03999999999999
5.0,117.3,330.57000000000005,339.47999999999996,205.69000000000003,75.39,242.79,65.69,106.84,47.22,37.77,71.15,64.24000000000001
6.0,111.10000000000001,123.46000000000001,143.63,40.120000000000005,119.94,101.50999999999999,50.89999999999999,38.17,126.02000000000001,112.99,122.04999999999998,86.32000000000001
7.0,175.98000000000002,164.72,339.47999999999996,205.69000000000003,75.39,101.50999999999999,50.89999999999999,38.17,126.02000000000001,112.99,122.04999999999998,64.24000000000001
8.0,117.3,330.57000000000005,170.62,121.29999999999998,49.92,180.93999999999997,283.66,67.14,74.87,125.87,78.06,58.99999999999999
9.0,91.84,142.64000000000001,157.05999999999997,249.14000000000001,136.7,31.200000000000003,89.28,67.35999999999999,63.66,108.32,170.33,85.03999999999999
10.0,121.86,59.09,86.24999999999999,112.76,251.25,180.93999999999997,283.66,67.14,74.87,125.87,78.06,80.77000000000001
11.0,109.38999999999999,148.84,170.62,121.29999999999998,49.92,74.66,45.29,63.980000000000004,111.73,324.70000000000005,92.30000000000001,58.99999999999999
12.0,91.84,142.64000000000001,170.62,121.29999999999998,49.92,117.57,64.65,55.3,51.519999999999996,68.15,92.72,58.99999999999999
13.0,91.84,142.64000000000001,143.63,40.120000000000005,119.94,74.66,45.29,63.980000000000004,111.73,324.70000000000005,92.30000000000001,86.32000000000001
14.0,175.98000000000002,164.72,21.299999999999997,74.78,95.46999999999998,64.16999999999999,125.73000000000002,54.790000000000006,205.20999999999998,17.44,42.64,72.13
15.0,75.01,119.74999999999999,157.05999999999997,249.14000000000001,136.7,49.36,35.17,51.629999999999995,123.77000000000001,14.57,175.15,85.03999999999999
16.0,121.86,59.09,350.37999999999994,136.81,79.09,38.980000000000004,161.01999999999998,91.44,78.48,88.56,84.58,57.58
17.0,61.690000000000005,131.20000000000002,170.62,121.29999999999998,49.92,106.75999999999999,75.37,180.23,114.16000000000001,107.4,168.01,58.99999999999999
18.0,91.84,142.64000000000001,21.299999999999997,74.78,95.46999999999998,91.83,53.51,147.94,42.349999999999994,33.96,87.21000000000001,72.13
19.0,75.01,119.74999999999999,350.37999999999994,136.81,79.09,295.5,99.14,74.58,55.44,85.73,60.269999999999996,57.58
20.0,61.690000000000005,131.20000000000002,157.05999999999997,249.14000000000001,136.7,82.55999999999999,73.64999999999999,139.69000000000003,62.88,56.76,29.88,85.03999999999999
21.0,121.86,59.09,125.88000000000001,56.0,167.51,92.08000000000001,127.12999999999998,160.41,181.29,224.53,153.25,43.150000000000006
22.0,189.89,59.559999999999995,21.299999999999997,74.78,95.46999999999998,145.85000000000002,73.77000000000001,88.32,20.799999999999997,125.93,87.75999999999999,72.13
23.0,111.10000000000001,123.46000000000001,74.22,139.12,79.86000000000001,189.16,89.85,109.98999999999998,184.85,60.16,212.07000000000002,93.45
24.0,75.01,119.74999999999999,125.88000000000001,56.0,167.51,64.16999999999999,125.73000000000002,54.790000000000006,205.20999999999998,17.44,42.64,43.150000000000006
25.0,121.75000000000001,120.08,143.63,40.120000000000005,119.94,295.5,99.14,74.58,55.44,85.73,60.269999999999996,86.32000000000001
26.0,189.89,59.559999999999995,339.47999999999996,205.69000000000003,75.39,82.55999999999999,73.64999999999999,139.69000000000003,62.88,56.76,29.88,64.24000000000001
27.0,111.10000000000001,123.46000000000001,86.24999999999999,112.76,251.25,242.79,65.69,106.84,47.22,37.77,71.15,80.77000000000001
28.0,175.98000000000002,164.72,74.22,139.12,79.86000000000001,206.96,222.85999999999999,121.53,53.339999999999996,30.53,47.83,93.45
29.0,117.3,330.57000000000005,143.63,40.120000000000005,119.94,158.34,108.63,109.89000000000001,68.67999999999999,11.489999999999998,127.4,86.32000000000001
30.0,109.38999999999999,148.84,157.05999999999997,249.14000000000001,136.7,189.16,89.85,109.98999999999998,184.85,60.16,212.07000000000002,85.03999999999999
31.0,121.75000000000001,120.08,143.63,40.120000000000005,119.94,74.66,45.29,63.980000000000004,111.73,324.70000000000005,92.30000000000001,86.32000000000001
32.0,175.98000000000002,164.72,339.47999999999996,205.69000000000003,75.39,76.93,173.81,17.61,132.82000000000002,26.380000000000003,105.99,64.24000000000001
33.0,121.86,59.09,157.05999999999997,249.14000000000001,136.7,91.83,53.51,147.94,42.349999999999994,33.96,87.21000000000001,85.03999999999999
34.0,175.98000000000002,164.72,74.22,139.12,79.86000000000001,189.16,89.85,109.98999999999998,184.85,60.16,212.07000000000002,93.45
35.0,117.3,330.57000000000005,339.47999999999996,205.69000000000003,75.39,180.93999999999997,283.66,67.14,74.87,125.87,78.06,64.24000000000001
36.0,121.86,59.09,350.37999999999994,136.81,79.09,82.55999999999999,73.64999999999999,139.69000000000003,62.88,56.76,29.88,57.58
37.0,121.75000000000001,120.08,86.24999999999999,112.76,251.25,206.96,222.85999999999999,121.53,53.339999999999996,30.53,47.83,80.77000000000001
38.0,117.3,330.57000000000005,74.22,139.12,79.86000000000001,163.82999999999998,98.42999999999999,154.61,37.25,86.44,229.87,93.45
39.0,61.690000000000005,131.20000000000002,350.37999999999994,136.81,79.09,158.34,108.63,109.89000000000001,68.67999999999999,11.489999999999998,127.4,57.58
40.0,109.38999999999999,148.84,74.22,139.12,79.86000000000001,82.55999999999999,73.64999999999999,139.69000000000003,62.88,56.76,29.88,93.45
41.0,121.75000000000001,120.08,157.05999999999997,249.14000000000001,136.7,206.96,222.85999999999999,121.53,53.339999999999996,30.53,47.83,85.03999999999999
42.0,61.690000000000005,131.20000000000002,350.37999999999994,136.81,79.09,92.08000000000001,127.12999999999998,160.41,181.29,224.53,153.25,57.58
43.0,111.10000000000001,123.46000000000001,86.24999999999999,112.76,251.25,64.16999999999999,125.73000000000002,54.790000000000006,205.20999999999998,17.44,42.64,80.77000000000001
44.0,121.75000000000001,120.08,339.47999999999996,205.69000000000003,75.39,66.53,265.09999999999997,155.04000000000002,46.87,61.87,100.71,64.24000000000001
45.0,111.10000000000001,123.46000000000001,170.62,121.29999999999998,49.92,76.93,173.81,17.61,132.82000000000002,26.380000000000003,105.99,58.99999999999999
46.0,121.86,59.09,143.63,40.120000000000005,119.94,66.53,265.09999999999997,155.04000000000002,46.87,61.87,100.71,86.32000000000001
47.0,61.690000000000005,131.20000000000002,125.88000000000001,56.0,167.51,295.5,99.14,74.58,55.44,85.73,60.269999999999996,43.150000000000006
48.0,109.38999999999999,148.84,86.24999999999999,112.76,251.25,76.93,173.81,17.61,132.82000000000002,26.380000000000003,105.99,80.77000000000001
49.0,117.3,330.57000000000005,350.37999999999994,136.81,79.09,295.5,99.14,74.58,55.44,85.73,60.269999999999996,57.58
