Tercile Classes,Month Forecast Issued,Tercile Probability
Above_Normal,2021-11,32.14578
Below_Normal,2021-12,32.00768
Normal,2021-12,34.21254
Above_Normal,2021-12,33.77979
Below_Normal,2022-01,38.92044
Normal,2022-01,33.21844
Above_Normal,2022-01,27.86112
Below_Normal,2022-02,41.59954
Normal,2022-02,32.40932
Above_Normal,2022-02,25.99115
Below_Normal,2022-03,51.9847
Normal,2022-03,29.48747
Above_Normal,2022-03,18.52783
Below_Normal,2022-04,30.6658
Normal,2022-04,33.01677
Above_Normal,2022-04,36.31743
Below_Normal,2022-05,31.02622
Normal,2022-05,33.32856
Above_Normal,2022-05,35.64522
Below_Normal,2022-06,30.39946
Normal,2022-06,33.29952
Above_Normal,2022-06,36.30102
Below_Normal,2022-07,26.76617
Normal,2022-07,33.03302
Above_Normal,2022-07,40.20081
Below_Normal,2022-08,28.04716
Normal,2022-08,33.22383
Above_Normal,2022-08,38.72902
Below_Normal,2022-09,28.68916
Normal,2022-09,32.92583
Above_Normal,2022-09,38.38501
Below_Normal,2022-10,26.58717
Normal,2022-10,32.63428
Above_Normal,2022-10,40.77855
Below_Normal,2022-11,32.73002
Normal,2022-11,33.5276
Above_Normal,2022-11,33.74239
Below_Normal,2022-12,31.64984
Normal,2022-12,33.17303
Above_Normal,2022-12,35.17712
Below_Normal,2023-01,35.74375
Normal,2023-01,33.88717
Above_Normal,2023-01,30.36907
Below_Normal,2023-02,40.24104
Normal,2023-02,32.16011
Above_Normal,2023-02,27.59884
Below_Normal,2023-03,38.94327
Normal,2023-03,34.51229
Above_Normal,2023-03,26.54444
Below_Normal,2023-04,33.22935
Normal,2023-04,33.53772
Above_Normal,2023-04,33.23294
Below_Normal,2023-05,32.17044
Normal,2023-05,33.36577
Above_Normal,2023-05,34.46379
Below_Normal,2023-06,39.61975
Normal,2023-06,32.75251
Above_Normal,2023-06,27.62773
Below_Normal,2023-07,34.41924
Normal,2023-07,33.46355
Above_Normal,2023-07,32.11721
Below_Normal,2023-08,40.99657
Normal,2023-08,32.2869
Above_Normal,2023-08,26.71653
Below_Normal,2023-09,42.30447
Normal,2023-09,32.5186
Above_Normal,2023-09,25.17692
Below_Normal,2023-10,37.9584
Normal,2023-10,33.74863
Above_Normal,2023-10,28.29296
Below_Normal,2023-11,34.26767
Normal,2023-11,33.91502
Above_Normal,2023-11,31.81731
Below_Normal,2023-12,35.69974
Normal,2023-12,33.75565
Above_Normal,2023-12,30.54461
Below_Normal,2024-01,33.86739
Normal,2024-01,33.83226
Above_Normal,2024-01,32.30035
Below_Normal,2024-02,35.2464
Normal,2024-02,33.75084
Above_Normal,2024-02,31.00276
Below_Normal,2024-03,40.09475
Normal,2024-03,32.79751
Above_Normal,2024-03,27.10774
Below_Normal,2024-04,32.24278
Normal,2024-04,33.61134
Above_Normal,2024-04,34.14588
Below_Normal,2024-05,32.09425
Normal,2024-05,33.19446
Above_Normal,2024-05,34.71128
Below_Normal,2024-06,30.52921
Normal,2024-06,33.16568
Above_Normal,2024-06,36.30511
Below_Normal,2024-07,27.8431
Normal,2024-07,33.02824
Above_Normal,2024-07,39.12866
Below_Normal,2024-08,25.4195
Normal,2024-08,32.0768
Above_Normal,2024-08,42.5037
Below_Normal,2024-09,27.43482
Normal,2024-09,33.01857
Above_Normal,2024-09,39.54662
