YEAR,season_tavg
2009,6.290444444444445
2010,6.857055555555555
2003,7.306055555555555
2002,7.374388888888889
2000,7.410055555555555
1995,7.731944444444444
2013,7.816888888888888
1993,8.087555555555555
2014,8.380277777777778
1997,8.8695
2005,8.945666666666666
2006,9.049722222222222
1992,9.160166666666667
2007,9.294555555555556
2001,9.311388888888889
1994,9.404944444444444
1991,9.472277777777778
2004,9.482111111111111
1996,9.609666666666667
1999,9.6635
2008,9.708888888888888
2017,10.452944444444444
2011,10.490722222222221
2012,10.509444444444444
1998,10.930444444444445
2019,11.007166666666667
2015,11.223166666666668
2018,11.685611111111111
2016,12.726111111111111
