Tercile Classes,Month Forecast Issued,Tercile Probability
Above_Normal,2021-11,28.75563
Below_Normal,2021-12,34.17759
Normal,2021-12,35.46947
Above_Normal,2021-12,30.35294
Below_Normal,2022-01,29.99127
Normal,2022-01,34.25281
Above_Normal,2022-01,35.75592
Below_Normal,2022-02,18.09573
Normal,2022-02,30.02841
Above_Normal,2022-02,51.87586
Below_Normal,2022-03,17.18947
Normal,2022-03,29.65607
Above_Normal,2022-03,53.15445
Below_Normal,2022-04,16.84048
Normal,2022-04,29.60239
Above_Normal,2022-04,53.55713
Below_Normal,2022-05,17.85314
Normal,2022-05,24.94006
Above_Normal,2022-05,57.20681
Below_Normal,2022-06,21.00274
Normal,2022-06,32.17741
Above_Normal,2022-06,46.81985
Below_Normal,2022-07,32.07754
Normal,2022-07,36.46214
Above_Normal,2022-07,31.46032
Below_Normal,2022-08,32.13432
Normal,2022-08,34.52218
Above_Normal,2022-08,33.3435
Below_Normal,2022-09,36.04852
Normal,2022-09,35.4659
Above_Normal,2022-09,28.48558
Below_Normal,2022-10,35.33225
Normal,2022-10,34.46715
Above_Normal,2022-10,30.2006
Below_Normal,2022-11,36.54372
Normal,2022-11,34.36302
Above_Normal,2022-11,29.09325
Below_Normal,2022-12,29.83293
Normal,2022-12,35.48855
Above_Normal,2022-12,34.67852
Below_Normal,2023-01,19.18745
Normal,2023-01,29.93597
Above_Normal,2023-01,50.87658
Below_Normal,2023-02,17.52188
Normal,2023-02,29.56165
Above_Normal,2023-02,52.91647
Below_Normal,2023-03,16.04644
Normal,2023-03,30.21338
Above_Normal,2023-03,53.74018
Below_Normal,2023-04,14.72717
Normal,2023-04,25.92139
Above_Normal,2023-04,59.35144
Below_Normal,2023-05,19.51003
Normal,2023-05,28.67953
Above_Normal,2023-05,51.81044
Below_Normal,2023-06,26.00009
Normal,2023-06,34.60223
Above_Normal,2023-06,39.39769
Below_Normal,2023-07,22.55271
Normal,2023-07,29.77078
Above_Normal,2023-07,47.67651
Below_Normal,2023-08,27.55908
Normal,2023-08,33.70024
Above_Normal,2023-08,38.74068
Below_Normal,2023-09,17.3938
Normal,2023-09,30.17536
Above_Normal,2023-09,52.43084
Below_Normal,2023-10,14.69389
Normal,2023-10,26.62043
Above_Normal,2023-10,58.68568
Below_Normal,2023-11,14.52342
Normal,2023-11,27.80243
Above_Normal,2023-11,57.67416
Below_Normal,2023-12,13.15511
Normal,2023-12,25.22681
Above_Normal,2023-12,61.61808
Below_Normal,2024-01,18.16372
Normal,2024-01,28.97064
Above_Normal,2024-01,52.86564
Below_Normal,2024-02,21.30226
Normal,2024-02,31.60782
Above_Normal,2024-02,47.08991
Below_Normal,2024-03,17.09805
Normal,2024-03,31.36918
Above_Normal,2024-03,51.53277
Below_Normal,2024-04,20.02763
Normal,2024-04,30.58705
Above_Normal,2024-04,49.38532
Below_Normal,2024-05,20.67499
Normal,2024-05,30.08567
Above_Normal,2024-05,49.23934
Below_Normal,2024-06,23.00299
Normal,2024-06,33.20396
Above_Normal,2024-06,43.79306
Below_Normal,2024-07,24.36224
Normal,2024-07,33.11542
Above_Normal,2024-07,42.52234
Below_Normal,2024-08,30.59804
Normal,2024-08,34.63603
Above_Normal,2024-08,34.76592
Below_Normal,2024-09,28.17622
Normal,2024-09,34.19742
Above_Normal,2024-09,37.62636
Below_Normal,2024-10,27.85594
Normal,2024-10,35.21593
Above_Normal,2024-10,36.92812
Below_Normal,2024-11,32.00812
Normal,2024-11,34.79565
Above_Normal,2024-11,33.19622
Below_Normal,2024-12,21.46273
Normal,2024-12,32.2318
Above_Normal,2024-12,46.30546
Below_Normal,2025-01,17.3666
Normal,2025-01,28.68889
Above_Normal,2025-01,53.94451
Below_Normal,2025-02,11.6122
Normal,2025-02,23.78955
