Tercile Classes,Month Forecast Issued,Tercile Probability
Above_Normal,2021-11,39.10176
Below_Normal,2021-12,22.85284
Normal,2021-12,30.74026
Above_Normal,2021-12,46.4069
Below_Normal,2022-01,19.43742
Normal,2022-01,29.61463
Above_Normal,2022-01,50.94795
Below_Normal,2022-02,27.28626
Normal,2022-02,32.74136
Above_Normal,2022-02,39.97238
Below_Normal,2022-03,37.54007
Normal,2022-03,32.696
Above_Normal,2022-03,29.76393
Below_Normal,2022-04,51.16496
Normal,2022-04,29.25224
Above_Normal,2022-04,19.58281
Below_Normal,2022-05,44.41017
Normal,2022-05,30.61677
Above_Normal,2022-05,24.97306
Below_Normal,2022-06,36.67921
Normal,2022-06,33.55104
Above_Normal,2022-06,29.76976
Below_Normal,2022-07,37.26423
Normal,2022-07,33.48311
Above_Normal,2022-07,29.25266
Below_Normal,2022-08,34.18875
Normal,2022-08,33.68039
Above_Normal,2022-08,32.13086
Below_Normal,2022-09,35.21945
Normal,2022-09,33.34707
Above_Normal,2022-09,31.43348
Below_Normal,2022-10,22.6025
Normal,2022-10,32.55886
Above_Normal,2022-10,44.83864
Below_Normal,2022-11,31.22723
Normal,2022-11,33.39487
Above_Normal,2022-11,35.37791
Below_Normal,2022-12,24.54231
Normal,2022-12,32.5873
Above_Normal,2022-12,42.8704
Below_Normal,2023-01,19.10936
Normal,2023-01,30.30604
Above_Normal,2023-01,50.5846
Below_Normal,2023-02,26.32288
Normal,2023-02,32.23833
Above_Normal,2023-02,41.43879
Below_Normal,2023-03,32.7728
Normal,2023-03,34.01215
Above_Normal,2023-03,33.21506
Below_Normal,2023-04,36.08827
Normal,2023-04,33.45496
Above_Normal,2023-04,30.45676
Below_Normal,2023-05,34.48654
Normal,2023-05,34.23013
Above_Normal,2023-05,31.28333
Below_Normal,2023-06,32.2636
Normal,2023-06,34.20592
Above_Normal,2023-06,33.53047
Below_Normal,2023-07,34.49763
Normal,2023-07,33.69446
Above_Normal,2023-07,31.80791
Below_Normal,2023-08,34.11751
Normal,2023-08,32.47911
Above_Normal,2023-08,33.40338
Below_Normal,2023-09,32.45851
Normal,2023-09,34.52444
Above_Normal,2023-09,33.01705
Below_Normal,2023-10,31.15606
Normal,2023-10,35.01886
Above_Normal,2023-10,33.82508
Below_Normal,2023-11,35.00335
Normal,2023-11,33.70361
Above_Normal,2023-11,31.29304
Below_Normal,2023-12,40.97085
Normal,2023-12,32.98377
Above_Normal,2023-12,26.04538
Below_Normal,2024-01,39.55339
Normal,2024-01,34.05611
Above_Normal,2024-01,26.3905
Below_Normal,2024-02,37.65179
Normal,2024-02,33.40983
Above_Normal,2024-02,28.93838
Below_Normal,2024-03,36.02249
Normal,2024-03,32.82989
Above_Normal,2024-03,31.14762
Below_Normal,2024-04,31.69644
Normal,2024-04,33.97223
Above_Normal,2024-04,34.33133
Below_Normal,2024-05,34.68839
Normal,2024-05,33.8155
Above_Normal,2024-05,31.49611
Below_Normal,2024-06,39.00658
Normal,2024-06,32.77436
Above_Normal,2024-06,28.21906
Below_Normal,2024-07,35.35406
Normal,2024-07,32.85711
Above_Normal,2024-07,31.78882
Below_Normal,2024-08,31.55667
Normal,2024-08,33.54252
Above_Normal,2024-08,34.90081
Below_Normal,2024-09,32.81986
Normal,2024-09,34.51333
Above_Normal,2024-09,32.66681
Below_Normal,2024-10,25.79317
Normal,2024-10,32.68531
Above_Normal,2024-10,41.52152
Below_Normal,2024-11,29.20524
Normal,2024-11,33.10418
Above_Normal,2024-11,37.69059
Below_Normal,2024-12,24.49997
Normal,2024-12,30.91829
Above_Normal,2024-12,44.58174
Below_Normal,2025-01,15.30591
Normal,2025-01,25.86871
Above_Normal,2025-01,58.82538
Below_Normal,2025-02,29.69114
Normal,2025-02,33.97642
Above_Normal,2025-02,36.33244
Below_Normal,2025-03,35.37098
Normal,2025-03,32.44897
Above_Normal,2025-03,32.18005
Below_Normal,2025-04,42.7056
Normal,2025-04,32.2304
Above_Normal,2025-04,25.06399
Below_Normal,2025-05,41.21038
Normal,2025-05,32.26083
Above_Normal,2025-05,26.52879
Below_Normal,2025-06,49.16381
Normal,2025-06,29.99681
Above_Normal,2025-06,20.83938
Below_Normal,2025-07,31.49215
Normal,2025-07,34.1341
Above_Normal,2025-07,34.37375
Below_Normal,2025-08,34.54233
Normal,2025-08,33.55489
Above_Normal,2025-08,31.90278
Below_Normal,2025-09,35.44792
Normal,2025-09,33.54075
Above_Normal,2025-09,31.01133
Below_Normal,2025-10,24.41928
Normal,2025-10,32.44232
Above_Normal,2025-10,43.1384
Below_Normal,2025-11,33.44804
Normal,2025-11,33.85464
Above_Normal,2025-11,32.69733
Below_Normal,2025-12,33.71176
Normal,2025-12,33.17572
Above_Normal,2025-12,33.11252
Below_Normal,2026-01,23.30961
Normal,2026-01,31.47982
Above_Normal,2026-01,45.21057
