Tercile Classes,Month Forecast Issued,Tercile Probability
Above_Normal,May 2021,27.03921
Below_Normal,Jun 2021,34.05251
Normal,Jun 2021,31.30678
Above_Normal,Jun 2021,34.64071
Below_Normal,Jul 2021,33.09983
Normal,Jul 2021,31.23182
Above_Normal,Jul 2021,35.66835
Below_Normal,Aug 2021,37.06962
Normal,Aug 2021,31.5864
Above_Normal,Aug 2021,31.34398
Below_Normal,Sep 2021,34.98859
Normal,Sep 2021,33.69689
Above_Normal,Sep 2021,31.31453
Below_Normal,Oct 2021,46.90893
Normal,Oct 2021,32.38879
Above_Normal,Oct 2021,20.70228
Below_Normal,Nov 2021,49.6103
Normal,Nov 2021,31.46721
Above_Normal,Nov 2021,18.92249
Below_Normal,Dec 2021,39.61129
Normal,Dec 2021,34.2818
Above_Normal,Dec 2021,26.10691
Below_Normal,Jan 2022,48.55849
Normal,Jan 2022,32.02888
Above_Normal,Jan 2022,19.41263
Below_Normal,Feb 2022,56.53909
Normal,Feb 2022,27.17389
Above_Normal,Feb 2022,16.28703
Below_Normal,Mar 2022,43.97239
Normal,Mar 2022,31.93361
Above_Normal,Mar 2022,24.09401
Below_Normal,Apr 2022,31.33915
Normal,Apr 2022,33.26781
Above_Normal,Apr 2022,35.39305
Below_Normal,May 2022,24.33498
Normal,May 2022,30.63229
Above_Normal,May 2022,45.03273
Below_Normal,Jun 2022,30.97116
Normal,Jun 2022,33.59203
Above_Normal,Jun 2022,35.43682
Below_Normal,Jul 2022,31.15152
Normal,Jul 2022,32.93913
Above_Normal,Jul 2022,35.90936
Below_Normal,Aug 2022,36.0529
Normal,Aug 2022,33.4476
Above_Normal,Aug 2022,30.4995
Below_Normal,Sep 2022,58.78904
Normal,Sep 2022,28.3732
Above_Normal,Sep 2022,12.83776
Below_Normal,Oct 2022,47.92266
Normal,Oct 2022,33.08846
Above_Normal,Oct 2022,18.98888
Below_Normal,Nov 2022,39.78278
Normal,Nov 2022,33.99429
Above_Normal,Nov 2022,26.22293
Below_Normal,Dec 2022,36.43124
Normal,Dec 2022,34.73893
Above_Normal,Dec 2022,28.82984
